;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0019_1;IMG_0019;1575543107;2019-12-05 11:51:47.917920+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646418.022;5676516.676;32631;0.025426111;0.074383734;-2.442932891;0.008330883;0.008316037;0.000477005;0.006228556;0.010568547;0.154873447;0.154873447;0.143254665;69.66053752;16.31619077;185.2415924
IMG_0019_2;IMG_0019;1575543107;2019-12-05 11:51:47.917920+00:00;0.00144;200;0.00144;2.8;27.22222222;646418.022;5676516.676;32631;0.025426111;0.074383734;-2.442932891;0.006445163;0.006426712;0.000370338;0.004996847;0.008608345;0.130857015;0.130857015;0.121039973;69.66053752;16.31619077;185.2415924
IMG_0019_3;IMG_0019;1575543107;2019-12-05 11:51:47.917920+00:00;0.00162;400;0.00162;2.8;12.09876543;646418.022;5676516.676;32631;0.025426111;0.074383734;-2.442932891;0.006396511;0.006396914;0.000367735;0.004675862;0.008196832;0.114906867;0.114906867;0.106286424;69.66053752;16.31619077;185.2415924
IMG_0019_4;IMG_0019;1575543107;2019-12-05 11:51:47.917920+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646418.022;5676516.676;32631;0.025426111;0.074383734;-2.442932891;0.007604357;0.00759864;0.000414484;0.005841588;0.009626855;0.068769551;0.068769551;0.063610381;69.66053752;16.31619077;185.2415924
IMG_0019_5;IMG_0019;1575543107;2019-12-05 11:51:47.917920+00:00;0.001215;800;0.001215;2.8;8.065843621;646418.022;5676516.676;32631;0.025426111;0.074383734;-2.442932891;0.005098364;0.00509949;0.000454263;0.002772598;0.007143873;0.09806265;0.09806265;0.090705878;69.66053752;16.31619077;185.2415924
IMG_0020_1;IMG_0020;1575543117;2019-12-05 11:51:57.946500+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.8268;5676517.149;32631;0.025790619;0.074316775;-2.44580697;0.008374192;0.00836301;0.000479707;0.006208628;0.010935544;0.155840201;0.155840201;0.144254907;69.64622305;16.31378087;185.281754
IMG_0020_2;IMG_0020;1575543117;2019-12-05 11:51:57.946500+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.8268;5676517.149;32631;0.025790619;0.074316775;-2.44580697;0.00644779;0.006431826;0.000372276;0.004953038;0.00860505;0.131387033;0.131387033;0.121619608;69.64622305;16.31378087;185.281754
IMG_0020_3;IMG_0020;1575543117;2019-12-05 11:51:57.946500+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.8268;5676517.149;32631;0.025790619;0.074316775;-2.44580697;0.006387867;0.006388341;0.000363566;0.004704895;0.008149875;0.115175705;0.115175705;0.106613444;69.64622305;16.31378087;185.281754
IMG_0020_4;IMG_0020;1575543117;2019-12-05 11:51:57.946500+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.8268;5676517.149;32631;0.025790619;0.074316775;-2.44580697;0.007588822;0.00758373;0.000413485;0.00544207;0.009660949;0.068607213;0.068607213;0.063506894;69.64622305;16.31378087;185.281754
IMG_0020_5;IMG_0020;1575543117;2019-12-05 11:51:57.946500+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.8268;5676517.149;32631;0.025790619;0.074316775;-2.44580697;0.005087795;0.005087871;0.000455602;0.002979814;0.007647615;0.09798586;0.09798586;0.090701507;69.64622305;16.31378087;185.281754
IMG_0021_1;IMG_0021;1575543127;2019-12-05 11:52:07.975040+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.7817;5676517.504;32631;0.02618155;0.0740756;-2.444334233;0.008443093;0.008429522;0.000482946;0.006464832;0.010653807;0.157738948;0.157738948;0.146022787;69.64658573;16.31135377;185.3219159
IMG_0021_2;IMG_0021;1575543127;2019-12-05 11:52:07.975040+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.7817;5676517.504;32631;0.02618155;0.0740756;-2.444334233;0.006472088;0.006452059;0.000372726;0.005051507;0.008495734;0.132223581;0.132223581;0.12240259;69.64658573;16.31135377;185.3219159
IMG_0021_3;IMG_0021;1575543127;2019-12-05 11:52:07.975040+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.7817;5676517.504;32631;0.02618155;0.0740756;-2.444334233;0.006396724;0.0063957;0.000364079;0.004328429;0.008112721;0.115530953;0.115530953;0.106949817;69.64658573;16.31135377;185.3219159
IMG_0021_4;IMG_0021;1575543127;2019-12-05 11:52:07.975040+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.7817;5676517.504;32631;0.02618155;0.0740756;-2.444334233;0.007593592;0.00758946;0.000415622;0.005419286;0.0096506;0.068822094;0.068822094;0.063710289;69.64658573;16.31135377;185.3219159
IMG_0021_5;IMG_0021;1575543127;2019-12-05 11:52:07.975040+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.7817;5676517.504;32631;0.02618155;0.0740756;-2.444334233;0.00508502;0.005082382;0.000454368;0.003043308;0.007461374;0.098306234;0.098306234;0.091004476;69.64658573;16.31135377;185.3219159
